Arcade || 1941 - Counter Attack (World) (1941) || Other/Arcade/1941 - Counter Attack (World) (1941)/1941 - Counter Attack (World) (1941).json
Arcade || Metal Slug 6 (World) (mslug6) || Other/Arcade/Metal Slug 6 (World) (mslug6)/Metal Slug 6 (World) (mslug6).json
Arcade || Metal Slug X (World) (mslugx) || Other/Arcade/Metal Slug X (World) (mslugx)/Metal Slug X (World) (mslugx).json
Arcade || Millipede (World) (milliped) || Other/Arcade/Millipede (World) (milliped)/Millipede (World) (milliped).json
Arcade || Missile Command (World) (missile) || Other/Arcade/Missile Command (World) (missile)/Missile Command (World) (missile).json
Arcade || Monte Carlo (World) (montecar) || Other/Arcade/Monte Carlo (World) (montecar)/Monte Carlo (World) (montecar).json
Arcade || Mortal Kombat (World) (mk) || Other/Arcade/Mortal Kombat (World) (mk)/Mortal Kombat (World) (mk).json
Arcade || Mortal Kombat 3 (World) (mk3) || Other/Arcade/Mortal Kombat 3 (World) (mk3)/Mortal Kombat 3 (World) (mk3).json
Arcade || Mortal Kombat II (World) (mk2) || Other/Arcade/Mortal Kombat II (World) (mk2)/Mortal Kombat II (World) (mk2).json
Arcade || Motos (World) (motos) || Other/Arcade/Motos (World) (motos)/Motos (World) (motos).json
Arcade || Ms. Pac-Man (World) (mspacman) || Other/Arcade/Ms. Pac-Man (World) (mspacman)/Ms. Pac-Man (World) (mspacman).json
Arcade || Munch Mobile (USA) (mnchmobl) || Other/Arcade/Munch Mobile (USA) (mnchmobl)/Munch Mobile (USA) (mnchmobl).json
Arcade || Narc (World) (narc) || Other/Arcade/Narc (World) (narc)/Narc (World) (narc).json
Arcade || Nemesis (World) (nemesis) || Other/Arcade/Nemesis (World) (nemesis)/Nemesis (World) (nemesis).json
Arcade || Neo Turf Masters ~ Big Tournament Golf (World) (turfmast) || Other/Arcade/Neo Turf Masters ~ Big Tournament Golf (World) (turfmast)/Neo Turf Masters ~ Big Tournament Golf (World) (turfmast).json
Arcade || New Rally-X (World) (nrallyx) || Other/Arcade/New Rally-X (World) (nrallyx)/New Rally-X (World) (nrallyx).json
Arcade || Night Warriors - Darkstalkers' Revenge (Europe) (nwarr) || Other/Arcade/Night Warriors - Darkstalkers' Revenge (Europe) (nwarr)/Night Warriors - Darkstalkers' Revenge (Europe) (nwarr).json
Arcade || Ozma Wars (World) (ozmawars) || Other/Arcade/Ozma Wars (World) (ozmawars)/Ozma Wars (World) (ozmawars).json
Arcade || P.O.W. - Prisoners of War (USA) (pow) || Other/Arcade/P.O.W. - Prisoners of War (USA) (pow)/P.O.W. - Prisoners of War (USA) (pow).json
Arcade || Pac-Man (World) (Midway) (pacman) || Other/Arcade/Pac-Man (World) (Midway) (pacman)/Pac-Man (World) (Midway) (pacman).json
Arcade || Paddle Mania (World) (paddlema) || Other/Arcade/Paddle Mania (World) (paddlema)/Paddle Mania (World) (paddlema).json
Arcade || Pang! 3 (Europe) (pang3) || Other/Arcade/Pang! 3 (Europe) (pang3)/Pang! 3 (Europe) (pang3).json
Arcade || Paperboy (World) (paperboy) || Other/Arcade/Paperboy (World) (paperboy)/Paperboy (World) (paperboy).json
Arcade || Pirate Ship Higemaru (World) (higemaru) || Other/Arcade/Pirate Ship Higemaru (World) (higemaru)/Pirate Ship Higemaru (World) (higemaru).json
Arcade || Pit-Fighter (World) (pitfight) || Other/Arcade/Pit-Fighter (World) (pitfight)/Pit-Fighter (World) (pitfight).json
