NEC TurboGrafx-16 & PC-Engine || Moto Roader (USA) || Other/NEC TurboGrafx-16 & PC-Engine/Moto Roader (USA)/Moto Roader (USA).json
NEC TurboGrafx-16 & PC-Engine || Neutopia (Japan) || Other/NEC TurboGrafx-16 & PC-Engine/Neutopia (Japan)/Neutopia (Japan).json
NEC TurboGrafx-16 & PC-Engine || Neutopia (USA) || Other/NEC TurboGrafx-16 & PC-Engine/Neutopia (USA)/Neutopia (USA).json
NEC TurboGrafx-16 & PC-Engine || Neutopia II (Japan) || Other/NEC TurboGrafx-16 & PC-Engine/Neutopia II (Japan)/Neutopia II (Japan).json
NEC TurboGrafx-16 & PC-Engine || Neutopia II (USA) || Other/NEC TurboGrafx-16 & PC-Engine/Neutopia II (USA)/Neutopia II (USA).json
NEC TurboGrafx-16 & PC-Engine || New Adventure Island (USA) || Other/NEC TurboGrafx-16 & PC-Engine/New Adventure Island (USA)/New Adventure Island (USA).json
NEC TurboGrafx-16 & PC-Engine || Ninja Ryuuken Den (Japan) (En,Ja,Zh) || Other/NEC TurboGrafx-16 & PC-Engine/Ninja Ryuuken Den (Japan) (En,Ja,Zh)/Ninja Ryuuken Den (Japan) (En,Ja,Zh).json
NEC TurboGrafx-16 & PC-Engine || Ninja Spirit (USA) || Other/NEC TurboGrafx-16 & PC-Engine/Ninja Spirit (USA)/Ninja Spirit (USA).json
NEC TurboGrafx-16 & PC-Engine || Parasol Stars - The Story of Bubble Bobble III (USA) || Other/NEC TurboGrafx-16 & PC-Engine/Parasol Stars - The Story of Bubble Bobble III (USA)/Parasol Stars - The Story of Bubble Bobble III (USA).json
NEC TurboGrafx-16 & PC-Engine || Power Golf (USA) || Other/NEC TurboGrafx-16 & PC-Engine/Power Golf (USA)/Power Golf (USA).json
NEC TurboGrafx-16 & PC-Engine || Psychosis (USA) || Other/NEC TurboGrafx-16 & PC-Engine/Psychosis (USA)/Psychosis (USA).json
NEC TurboGrafx-16 & PC-Engine || R-Type (USA) || Other/NEC TurboGrafx-16 & PC-Engine/R-Type (USA)/R-Type (USA).json
NEC TurboGrafx-16 & PC-Engine || Shockman (USA) || Other/NEC TurboGrafx-16 & PC-Engine/Shockman (USA)/Shockman (USA).json
NEC TurboGrafx-16 & PC-Engine || Soldier Blade (USA) || Other/NEC TurboGrafx-16 & PC-Engine/Soldier Blade (USA)/Soldier Blade (USA).json
NEC TurboGrafx-16 & PC-Engine || Space Harrier (USA) || Other/NEC TurboGrafx-16 & PC-Engine/Space Harrier (USA)/Space Harrier (USA).json
NEC TurboGrafx-16 & PC-Engine || Splatterhouse (Japan) (En) || Other/NEC TurboGrafx-16 & PC-Engine/Splatterhouse (Japan) (En)/Splatterhouse (Japan) (En).json
NEC TurboGrafx-16 & PC-Engine || Super Momotarou Dentetsu II (Japan) || Other/NEC TurboGrafx-16 & PC-Engine/Super Momotarou Dentetsu II (Japan)/Super Momotarou Dentetsu II (Japan).json
NEC TurboGrafx-16 & PC-Engine || Super Star Soldier (Japan) || Other/NEC TurboGrafx-16 & PC-Engine/Super Star Soldier (Japan)/Super Star Soldier (Japan).json
NEC TurboGrafx-16 & PC-Engine || Super Star Soldier (USA) || Other/NEC TurboGrafx-16 & PC-Engine/Super Star Soldier (USA)/Super Star Soldier (USA).json
NEC TurboGrafx-16 & PC-Engine || Valkyrie no Densetsu (Japan) || Other/NEC TurboGrafx-16 & PC-Engine/Valkyrie no Densetsu (Japan)/Valkyrie no Densetsu (Japan).json
NEC TurboGrafx-16 & PC-Engine || Victory Run (USA) || Other/NEC TurboGrafx-16 & PC-Engine/Victory Run (USA)/Victory Run (USA).json
NEC TurboGrafx-16 & PC-Engine || Vigilante (USA) || Other/NEC TurboGrafx-16 & PC-Engine/Vigilante (USA)/Vigilante (USA).json
