Computer - Disc || Exile I - Escape From the Pit (USA) || Computer/Disc/E/Exile I - Escape From the Pit (USA)/Exile I - Escape From the Pit (USA).json
Computer - Disc || Exile II - Crystal Souls (USA) || Computer/Disc/E/Exile II - Crystal Souls (USA)/Exile II - Crystal Souls (USA).json
Computer - Disc || Exile III - Ruined World (USA) || Computer/Disc/E/Exile III - Ruined World (USA)/Exile III - Ruined World (USA).json
Computer - Disc || Exile IV - Blades of Exile (USA) || Computer/Disc/E/Exile IV - Blades of Exile (USA)/Exile IV - Blades of Exile (USA).json
Computer - Disc || Fallout (USA) || Computer/Disc/F/Fallout (USA)/Fallout (USA).json
Computer - Disc || Forced - Showdown (USA) || Computer/Disc/F/Forced - Showdown (USA)/Forced - Showdown (USA).json
Computer - Disc || Forgotten Realms - The Archives - Collection One (USA) || Computer/Disc/F/Forgotten Realms - The Archives - Collection One (USA)/Forgotten Realms - The Archives - Collection One (USA).json
Computer - Disc || Forgotten Realms - The Archives - Collection Two (USA) || Computer/Disc/F/Forgotten Realms - The Archives - Collection Two (USA)/Forgotten Realms - The Archives - Collection Two (USA).json
Computer - Disc || Freedom Planet (USA) || Computer/Disc/F/Freedom Planet (USA)/Freedom Planet (USA).json
Computer - Disc || GOD Games Bonus Disc! (USA) || Computer/Disc/G/GOD Games Bonus Disc! (USA)/GOD Games Bonus Disc! (USA).json
Computer - Disc || GOD Games Fall 2000 Bonus CD (USA) || Computer/Disc/G/GOD Games Fall 2000 Bonus CD (USA)/GOD Games Fall 2000 Bonus CD (USA).json
Computer - Disc || Galak-Z (USA) || Computer/Disc/G/Galak-Z (USA)/Galak-Z (USA).json
Computer - Disc || GameShark PC Code Browser CD-ROM for Game Boy (USA) || Computer/Disc/G/GameShark PC Code Browser CD-ROM for Game Boy (USA)/GameShark PC Code Browser CD-ROM for Game Boy (USA).json
Computer - Disc || Gateway II - Homeworld (USA) || Computer/Disc/G/Gateway II - Homeworld (USA)/Gateway II - Homeworld (USA).json
Computer - Disc || Gish (USA) || Computer/Disc/G/Gish (USA)/Gish (USA).json
Computer - Disc || Glittermitten Grove & Frog Fractions 2 (USA) || Computer/Disc/G/Glittermitten Grove & Frog Fractions 2 (USA)/Glittermitten Grove & Frog Fractions 2 (USA).json
Computer - Disc || Grim Fandango (USA) || Computer/Disc/G/Grim Fandango (USA)/Grim Fandango (USA).json
Computer - Disc || Guacamelee - Super Turbo Championship Edition (USA) || Computer/Disc/G/Guacamelee - Super Turbo Championship Edition (USA)/Guacamelee - Super Turbo Championship Edition (USA).json
Computer - Disc || Halcyon 6 (USA) || Computer/Disc/H/Halcyon 6 (USA)/Halcyon 6 (USA).json
Computer - Disc || Hand of Fate (USA) || Computer/Disc/H/Hand of Fate (USA)/Hand of Fate (USA).json
Computer - Disc || Hexen - Beyond Heretic (USA) || Computer/Disc/H/Hexen - Beyond Heretic (USA)/Hexen - Beyond Heretic (USA).json
Computer - Disc || Hexen II - Continent of Blackmarsh Matrox OEM Disc (USA) || Computer/Disc/H/Hexen II - Continent of Blackmarsh Matrox OEM Disc (USA)/Hexen II - Continent of Blackmarsh Matrox OEM Disc (USA).json
